id	control2		Sailfish	Salmon	STAR
AT4G33360	12.11		18.57907	15.717744	25.058371
AT4G33370	0		0	0	24.254696
AT4G33380	57.67		73.7772	68.890405	0
AT4G33390	0.07		0.079931	0.07365	74.46719
AT4G33400	6.82		7.34709	6.779035	85.801471
AT4G33410	14.93		15.8978	14.828767	38.26483
AT4G33420	11.56		13.6054	12.854815	26.494603
AT4G33430	28.42		35.2133	32.398511	0
AT4G33440	3.74		4.07502	3.554053	150.472507
AT4G33450	0		0	0	20.552898
AT4G33460	17.78		20.0831	18.913	28.162783
AT4G33465	0		0	0	61.996213
AT4G33467	0		0	0	8.685254
AT4G33470	18.14		23.5359	21.593818	17.484748
AT4G33480	25.81		31.5373	29.704087	30.003398
AT4G33490	16.19		23.25032	20.594796	14.206021
AT4G33495	5.41		6.84045	6.276995	18.810237
AT4G33500	24.64		29.0782	26.595502	7.608155
AT4G33510	64.18		78.974913	73.221084	36.593355
AT4G33520	13.34		44.81196	42.223721	11.413719
AT4G33530	22.09		24.917077	22.6413	11.955348
AT4G33540	34.14		41.3947	38.68938	41.612354
AT4G33550	18.49		27.82645	27.709628	11.1723
AT4G33560	2.54		3.42206	3.383152	31.065421
AT4G33565	15.15		18.3659	17.219078	9.954116
AT4G33580	73.1		111.7448	97.201393	12.728841
AT4G33585	0.72		1.09959	1.071117	1.058303
AT4G33590	0		0	0	25.112553
AT4G33600	0		0	0	20.908971
AT4G33610	0		0	0	0
AT4G33620	2.92		3.58106	3.30461	276.024035
AT4G33625	149.31		202.0284	192.885063	4.887389
AT4G33630	25.03		29.58702	25.648733	2.248716
AT4G33640	119.77		186.2384	176.04755	0
AT4G33650	13.2		15.5963	14.318201	5.129278
AT4G33660	12.72		7.05894	6.66385	7.302513
AT4G33666	16.99		31.036	33.750495	0
AT4G33670	52.09		64.0856	60.254493	0.328774
AT4G33680	41.08		49.6711	46.225606	1.689571
AT4G33690	11.23		13.1995	12.596089	3.940248
AT4G33700	25.16		30.41	28.182702	90.706156
AT4G33710	0		0	0	4.986258
AT4G33720	0		0	0	2.555331
AT4G33730	0		0	0	1.184356
AT4G33735	0		0	0	0
AT4G33740	36.77		51.881733	47.91243	20.449121
AT4G33760	13.78		16.71755	14.902795	47.045273
AT4G33770	13.34		16.50161	15.307595	35.809112
AT4G33780	16.3		18.8848	18.03921	33.272763
AT4G33790	0.66		0.761137	0.709589	72.413221
AT4G33800	0.56		0.726546	0.703028	20.36238
AT4G33810	1.8		2.84837	2.012392	47.49032
AT4G33820	0.04		0	0	197.516498
AT4G33830	0		0	0	1.79623
AT4G33840	0		0	0	8.099498
AT4G33860	0		0	0	2.960258
AT4G33865	473.78		481.064	483.110579	12.948275
AT4G33870	0.16		0.342955	0.323349	0
AT4G33880	0		0	0	134.417188
AT4G33885	0		0	0	0
AT4G33890	17.16		21.0808	19.557225	53.4979
AT4G33900	0		0	0	29.141041
AT4G33905	0.77		0.874503	0.827854	19.872665
AT4G33910	24.66		27.1597	25.462207	103.990085
AT4G33920	23.66		25.9426	24.071247	46.709366
AT4G33925	5.47		6.375052	6.146854	0
AT4G33930	0.66		0.770145	0.733294	33.901866
AT4G33940	25.24		30.87491	29.21716	3.90544
AT4G33945	19.55		19.7276	18.139654	0
AT4G33950	10.65		12.441245	11.617571	18.935821
